neighborhood,geoType,indicator,value,topic,displayTopic,type,format,order,topicOrder
Connecticut,4_state,Percent under age 18,0.216,age,Age,map,.0%,3,3
Greater New Haven,3_region,Percent under age 18,0.203,age,Age,map,.0%,3,3
New Haven,2_city,Percent under age 18,0.22,age,Age,map,.0%,3,3
Amity,1_neighborhood,Percent under age 18,0.267,age,Age,map,.0%,3,3
Annex,1_neighborhood,Percent under age 18,0.233,age,Age,map,.0%,3,3
Beaver Hills,1_neighborhood,Percent under age 18,0.281,age,Age,map,.0%,3,3
Dixwell,1_neighborhood,Percent under age 18,0.208,age,Age,map,.0%,3,3
Downtown,1_neighborhood,Percent under age 18,0.035,age,Age,map,.0%,3,3
Dwight,1_neighborhood,Percent under age 18,0.208,age,Age,map,.0%,3,3
East Rock,1_neighborhood,Percent under age 18,0.141,age,Age,map,.0%,3,3
East Shore,1_neighborhood,Percent under age 18,0.209,age,Age,map,.0%,3,3
Edgewood,1_neighborhood,Percent under age 18,0.249,age,Age,map,.0%,3,3
Fair Haven,1_neighborhood,Percent under age 18,0.294,age,Age,map,.0%,3,3
Fair Haven Heights,1_neighborhood,Percent under age 18,0.17,age,Age,map,.0%,3,3
Hill,1_neighborhood,Percent under age 18,0.306,age,Age,map,.0%,3,3
Newhallville,1_neighborhood,Percent under age 18,0.288,age,Age,map,.0%,3,3
Prospect Hill,1_neighborhood,Percent under age 18,0.236,age,Age,map,.0%,3,3
Quinnipiac Meadows,1_neighborhood,Percent under age 18,0.215,age,Age,map,.0%,3,3
West River,1_neighborhood,Percent under age 18,0.236,age,Age,map,.0%,3,3
West Rock,1_neighborhood,Percent under age 18,0.16,age,Age,map,.0%,3,3
Westville,1_neighborhood,Percent under age 18,0.195,age,Age,map,.0%,3,3
Wooster Square/Mill River,1_neighborhood,Percent under age 18,0.144,age,Age,map,.0%,3,3
Connecticut,4_state,Population ages 65+,555023,age,Age,table,",",4,4
Greater New Haven,3_region,Population ages 65+,72214,age,Age,table,",",4,4
New Haven,2_city,Population ages 65+,13681,age,Age,table,",",4,4
Amity,1_neighborhood,Population ages 65+,479,age,Age,table,",",4,4
Annex,1_neighborhood,Population ages 65+,692,age,Age,table,",",4,4
Beaver Hills,1_neighborhood,Population ages 65+,580,age,Age,table,",",4,4
Dixwell,1_neighborhood,Population ages 65+,610,age,Age,table,",",4,4
Downtown,1_neighborhood,Population ages 65+,551,age,Age,table,",",4,4
Dwight,1_neighborhood,Population ages 65+,329,age,Age,table,",",4,4
East Rock,1_neighborhood,Population ages 65+,798,age,Age,table,",",4,4
East Shore,1_neighborhood,Population ages 65+,862,age,Age,table,",",4,4
Edgewood,1_neighborhood,Population ages 65+,474,age,Age,table,",",4,4
Fair Haven,1_neighborhood,Population ages 65+,1149,age,Age,table,",",4,4
Fair Haven Heights,1_neighborhood,Population ages 65+,1657,age,Age,table,",",4,4
Hill,1_neighborhood,Population ages 65+,1519,age,Age,table,",",4,4
Newhallville,1_neighborhood,Population ages 65+,850,age,Age,table,",",4,4
Prospect Hill,1_neighborhood,Population ages 65+,381,age,Age,table,",",4,4
Quinnipiac Meadows,1_neighborhood,Population ages 65+,598,age,Age,table,",",4,4
West River,1_neighborhood,Population ages 65+,464,age,Age,table,",",4,4
West Rock,1_neighborhood,Population ages 65+,278,age,Age,table,",",4,4
Westville,1_neighborhood,Population ages 65+,1124,age,Age,table,",",4,4
Wooster Square/Mill River,1_neighborhood,Population ages 65+,286,age,Age,table,",",4,4
Connecticut,4_state,Percent ages 65+,0.155,age,Age,map,.0%,5,5
Greater New Haven,3_region,Percent ages 65+,0.155,age,Age,map,.0%,5,5
New Haven,2_city,Percent ages 65+,0.105,age,Age,map,.0%,5,5
Amity,1_neighborhood,Percent ages 65+,0.096,age,Age,map,.0%,5,5
Annex,1_neighborhood,Percent ages 65+,0.104,age,Age,map,.0%,5,5
Beaver Hills,1_neighborhood,Percent ages 65+,0.113,age,Age,map,.0%,5,5
Dixwell,1_neighborhood,Percent ages 65+,0.123,age,Age,map,.0%,5,5
Downtown,1_neighborhood,Percent ages 65+,0.05,age,Age,map,.0%,5,5
Dwight,1_neighborhood,Percent ages 65+,0.075,age,Age,map,.0%,5,5
East Rock,1_neighborhood,Percent ages 65+,0.093,age,Age,map,.0%,5,5
East Shore,1_neighborhood,Percent ages 65+,0.189,age,Age,map,.0%,5,5
Edgewood,1_neighborhood,Percent ages 65+,0.108,age,Age,map,.0%,5,5
Fair Haven,1_neighborhood,Percent ages 65+,0.066,age,Age,map,.0%,5,5
Fair Haven Heights,1_neighborhood,Percent ages 65+,0.25,age,Age,map,.0%,5,5
Hill,1_neighborhood,Percent ages 65+,0.094,age,Age,map,.0%,5,5
Newhallville,1_neighborhood,Percent ages 65+,0.151,age,Age,map,.0%,5,5
Prospect Hill,1_neighborhood,Percent ages 65+,0.09,age,Age,map,.0%,5,5
Quinnipiac Meadows,1_neighborhood,Percent ages 65+,0.099,age,Age,map,.0%,5,5
West River,1_neighborhood,Percent ages 65+,0.132,age,Age,map,.0%,5,5
West Rock,1_neighborhood,Percent ages 65+,0.063,age,Age,map,.0%,5,5
Westville,1_neighborhood,Percent ages 65+,0.131,age,Age,map,.0%,5,5
Wooster Square/Mill River,1_neighborhood,Percent ages 65+,0.088,age,Age,map,.0%,5,5
Connecticut,4_state,Total population,3588570,race,Race and ethnicity,table,",",1,6
Greater New Haven,3_region,Total population,464596,race,Race and ethnicity,table,",",1,6
New Haven,2_city,Total population,130405,race,Race and ethnicity,table,",",1,6
Amity,1_neighborhood,Total population,4970,race,Race and ethnicity,table,",",1,6
Annex,1_neighborhood,Total population,6677,race,Race and ethnicity,table,",",1,6
Beaver Hills,1_neighborhood,Total population,5135,race,Race and ethnicity,table,",",1,6
Dixwell,1_neighborhood,Total population,4962,race,Race and ethnicity,table,",",1,6
Downtown,1_neighborhood,Total population,10935,race,Race and ethnicity,table,",",1,6
Dwight,1_neighborhood,Total population,4403,race,Race and ethnicity,table,",",1,6
East Rock,1_neighborhood,Total population,8567,race,Race and ethnicity,table,",",1,6
East Shore,1_neighborhood,Total population,4567,race,Race and ethnicity,table,",",1,6
Edgewood,1_neighborhood,Total population,4391,race,Race and ethnicity,table,",",1,6
Fair Haven,1_neighborhood,Total population,17305,race,Race and ethnicity,table,",",1,6
Fair Haven Heights,1_neighborhood,Total population,6640,race,Race and ethnicity,table,",",1,6
Hill,1_neighborhood,Total population,16220,race,Race and ethnicity,table,",",1,6
Newhallville,1_neighborhood,Total population,5639,race,Race and ethnicity,table,",",1,6
Prospect Hill,1_neighborhood,Total population,4226,race,Race and ethnicity,table,",",1,6
Quinnipiac Meadows,1_neighborhood,Total population,6014,race,Race and ethnicity,table,",",1,6
West River,1_neighborhood,Total population,3527,race,Race and ethnicity,table,",",1,6
West Rock,1_neighborhood,Total population,4415,race,Race and ethnicity,table,",",1,6
Westville,1_neighborhood,Total population,8548,race,Race and ethnicity,table,",",1,6
Wooster Square/Mill River,1_neighborhood,Total population,3264,race,Race and ethnicity,table,",",1,6
Connecticut,4_state,Latino population,537728,race,Race and ethnicity,table,",",2,7
Greater New Haven,3_region,Latino population,66996,race,Race and ethnicity,table,",",2,7
New Haven,2_city,Latino population,37231,race,Race and ethnicity,table,",",2,7
Amity,1_neighborhood,Latino population,669,race,Race and ethnicity,table,",",2,7
Annex,1_neighborhood,Latino population,3073,race,Race and ethnicity,table,",",2,7
Beaver Hills,1_neighborhood,Latino population,724,race,Race and ethnicity,table,",",2,7
Dixwell,1_neighborhood,Latino population,658,race,Race and ethnicity,table,",",2,7
Downtown,1_neighborhood,Latino population,1209,race,Race and ethnicity,table,",",2,7
Dwight,1_neighborhood,Latino population,1214,race,Race and ethnicity,table,",",2,7
East Rock,1_neighborhood,Latino population,923,race,Race and ethnicity,table,",",2,7
East Shore,1_neighborhood,Latino population,357,race,Race and ethnicity,table,",",2,7
Edgewood,1_neighborhood,Latino population,561,race,Race and ethnicity,table,",",2,7
Fair Haven,1_neighborhood,Latino population,11605,race,Race and ethnicity,table,",",2,7
Fair Haven Heights,1_neighborhood,Latino population,2856,race,Race and ethnicity,table,",",2,7
Hill,1_neighborhood,Latino population,7442,race,Race and ethnicity,table,",",2,7
Newhallville,1_neighborhood,Latino population,654,race,Race and ethnicity,table,",",2,7
Prospect Hill,1_neighborhood,Latino population,706,race,Race and ethnicity,table,",",2,7
Quinnipiac Meadows,1_neighborhood,Latino population,1596,race,Race and ethnicity,table,",",2,7
West River,1_neighborhood,Latino population,889,race,Race and ethnicity,table,",",2,7
West Rock,1_neighborhood,Latino population,543,race,Race and ethnicity,table,",",2,7
Westville,1_neighborhood,Latino population,819,race,Race and ethnicity,table,",",2,7
Wooster Square/Mill River,1_neighborhood,Latino population,732,race,Race and ethnicity,table,",",2,7
Connecticut,4_state,Percent Latino,0.15,race,Race and ethnicity,map,.0%,3,8
Greater New Haven,3_region,Percent Latino,0.144,race,Race and ethnicity,map,.0%,3,8
New Haven,2_city,Percent Latino,0.286,race,Race and ethnicity,map,.0%,3,8
Amity,1_neighborhood,Percent Latino,0.135,race,Race and ethnicity,map,.0%,3,8
Annex,1_neighborhood,Percent Latino,0.46,race,Race and ethnicity,map,.0%,3,8
Beaver Hills,1_neighborhood,Percent Latino,0.141,race,Race and ethnicity,map,.0%,3,8
Dixwell,1_neighborhood,Percent Latino,0.133,race,Race and ethnicity,map,.0%,3,8
Downtown,1_neighborhood,Percent Latino,0.111,race,Race and ethnicity,map,.0%,3,8
Dwight,1_neighborhood,Percent Latino,0.276,race,Race and ethnicity,map,.0%,3,8
East Rock,1_neighborhood,Percent Latino,0.108,race,Race and ethnicity,map,.0%,3,8
East Shore,1_neighborhood,Percent Latino,0.078,race,Race and ethnicity,map,.0%,3,8
Edgewood,1_neighborhood,Percent Latino,0.128,race,Race and ethnicity,map,.0%,3,8
Fair Haven,1_neighborhood,Percent Latino,0.671,race,Race and ethnicity,map,.0%,3,8
Fair Haven Heights,1_neighborhood,Percent Latino,0.43,race,Race and ethnicity,map,.0%,3,8
Hill,1_neighborhood,Percent Latino,0.459,race,Race and ethnicity,map,.0%,3,8
Newhallville,1_neighborhood,Percent Latino,0.116,race,Race and ethnicity,map,.0%,3,8
Prospect Hill,1_neighborhood,Percent Latino,0.167,race,Race and ethnicity,map,.0%,3,8
Quinnipiac Meadows,1_neighborhood,Percent Latino,0.265,race,Race and ethnicity,map,.0%,3,8
West River,1_neighborhood,Percent Latino,0.252,race,Race and ethnicity,map,.0%,3,8
West Rock,1_neighborhood,Percent Latino,0.123,race,Race and ethnicity,map,.0%,3,8
Westville,1_neighborhood,Percent Latino,0.096,race,Race and ethnicity,map,.0%,3,8
Wooster Square/Mill River,1_neighborhood,Percent Latino,0.224,race,Race and ethnicity,map,.0%,3,8
Connecticut,4_state,White population,2464450,race,Race and ethnicity,table,",",4,9
Greater New Haven,3_region,White population,293119,race,Race and ethnicity,table,",",4,9
New Haven,2_city,White population,40164,race,Race and ethnicity,table,",",4,9
Amity,1_neighborhood,White population,1090,race,Race and ethnicity,table,",",4,9
Annex,1_neighborhood,White population,1915,race,Race and ethnicity,table,",",4,9
Beaver Hills,1_neighborhood,White population,750,race,Race and ethnicity,table,",",4,9
Dixwell,1_neighborhood,White population,794,race,Race and ethnicity,table,",",4,9
Downtown,1_neighborhood,White population,6134,race,Race and ethnicity,table,",",4,9
Dwight,1_neighborhood,White population,980,race,Race and ethnicity,table,",",4,9
East Rock,1_neighborhood,White population,5753,race,Race and ethnicity,table,",",4,9
East Shore,1_neighborhood,White population,3143,race,Race and ethnicity,table,",",4,9
Edgewood,1_neighborhood,White population,897,race,Race and ethnicity,table,",",4,9
Fair Haven,1_neighborhood,White population,2454,race,Race and ethnicity,table,",",4,9
Fair Haven Heights,1_neighborhood,White population,2392,race,Race and ethnicity,table,",",4,9
Hill,1_neighborhood,White population,1927,race,Race and ethnicity,table,",",4,9
Newhallville,1_neighborhood,White population,33,race,Race and ethnicity,table,",",4,9
Prospect Hill,1_neighborhood,White population,1395,race,Race and ethnicity,table,",",4,9
Quinnipiac Meadows,1_neighborhood,White population,1559,race,Race and ethnicity,table,",",4,9
West River,1_neighborhood,White population,505,race,Race and ethnicity,table,",",4,9
West Rock,1_neighborhood,White population,2031,race,Race and ethnicity,table,",",4,9
Westville,1_neighborhood,White population,4865,race,Race and ethnicity,table,",",4,9
Wooster Square/Mill River,1_neighborhood,White population,1547,race,Race and ethnicity,table,",",4,9
Connecticut,4_state,Percent white,0.687,race,Race and ethnicity,map,.0%,5,10
Greater New Haven,3_region,Percent white,0.631,race,Race and ethnicity,map,.0%,5,10
New Haven,2_city,Percent white,0.308,race,Race and ethnicity,map,.0%,5,10
Amity,1_neighborhood,Percent white,0.219,race,Race and ethnicity,map,.0%,5,10
Annex,1_neighborhood,Percent white,0.287,race,Race and ethnicity,map,.0%,5,10
Beaver Hills,1_neighborhood,Percent white,0.146,race,Race and ethnicity,map,.0%,5,10
Dixwell,1_neighborhood,Percent white,0.16,race,Race and ethnicity,map,.0%,5,10
Downtown,1_neighborhood,Percent white,0.561,race,Race and ethnicity,map,.0%,5,10
Dwight,1_neighborhood,Percent white,0.223,race,Race and ethnicity,map,.0%,5,10
East Rock,1_neighborhood,Percent white,0.672,race,Race and ethnicity,map,.0%,5,10
East Shore,1_neighborhood,Percent white,0.688,race,Race and ethnicity,map,.0%,5,10
Edgewood,1_neighborhood,Percent white,0.204,race,Race and ethnicity,map,.0%,5,10
Fair Haven,1_neighborhood,Percent white,0.142,race,Race and ethnicity,map,.0%,5,10
Fair Haven Heights,1_neighborhood,Percent white,0.36,race,Race and ethnicity,map,.0%,5,10
Hill,1_neighborhood,Percent white,0.119,race,Race and ethnicity,map,.0%,5,10
Newhallville,1_neighborhood,Percent white,0.006,race,Race and ethnicity,map,.0%,5,10
Prospect Hill,1_neighborhood,Percent white,0.33,race,Race and ethnicity,map,.0%,5,10
Quinnipiac Meadows,1_neighborhood,Percent white,0.259,race,Race and ethnicity,map,.0%,5,10
West River,1_neighborhood,Percent white,0.143,race,Race and ethnicity,map,.0%,5,10
West Rock,1_neighborhood,Percent white,0.46,race,Race and ethnicity,map,.0%,5,10
Westville,1_neighborhood,Percent white,0.569,race,Race and ethnicity,map,.0%,5,10
Wooster Square/Mill River,1_neighborhood,Percent white,0.474,race,Race and ethnicity,map,.0%,5,10
Connecticut,4_state,Black population,347674,race,Race and ethnicity,table,",",6,11
Greater New Haven,3_region,Black population,71020,race,Race and ethnicity,table,",",6,11
New Haven,2_city,Black population,42970,race,Race and ethnicity,table,",",6,11
Amity,1_neighborhood,Black population,2716,race,Race and ethnicity,table,",",6,11
Annex,1_neighborhood,Black population,1401,race,Race and ethnicity,table,",",6,11
Beaver Hills,1_neighborhood,Black population,3374,race,Race and ethnicity,table,",",6,11
Dixwell,1_neighborhood,Black population,3272,race,Race and ethnicity,table,",",6,11
Downtown,1_neighborhood,Black population,1216,race,Race and ethnicity,table,",",6,11
Dwight,1_neighborhood,Black population,1724,race,Race and ethnicity,table,",",6,11
East Rock,1_neighborhood,Black population,592,race,Race and ethnicity,table,",",6,11
East Shore,1_neighborhood,Black population,823,race,Race and ethnicity,table,",",6,11
Edgewood,1_neighborhood,Black population,2604,race,Race and ethnicity,table,",",6,11
Fair Haven,1_neighborhood,Black population,2791,race,Race and ethnicity,table,",",6,11
Fair Haven Heights,1_neighborhood,Black population,1210,race,Race and ethnicity,table,",",6,11
Hill,1_neighborhood,Black population,6244,race,Race and ethnicity,table,",",6,11
Newhallville,1_neighborhood,Black population,4843,race,Race and ethnicity,table,",",6,11
Prospect Hill,1_neighborhood,Black population,1049,race,Race and ethnicity,table,",",6,11
Quinnipiac Meadows,1_neighborhood,Black population,2551,race,Race and ethnicity,table,",",6,11
West River,1_neighborhood,Black population,1905,race,Race and ethnicity,table,",",6,11
West Rock,1_neighborhood,Black population,1591,race,Race and ethnicity,table,",",6,11
Westville,1_neighborhood,Black population,2314,race,Race and ethnicity,table,",",6,11
Wooster Square/Mill River,1_neighborhood,Black population,751,race,Race and ethnicity,table,",",6,11
Connecticut,4_state,Percent black,0.097,race,Race and ethnicity,map,.0%,7,12
Greater New Haven,3_region,Percent black,0.153,race,Race and ethnicity,map,.0%,7,12
New Haven,2_city,Percent black,0.33,race,Race and ethnicity,map,.0%,7,12
Amity,1_neighborhood,Percent black,0.546,race,Race and ethnicity,map,.0%,7,12
Annex,1_neighborhood,Percent black,0.21,race,Race and ethnicity,map,.0%,7,12
Beaver Hills,1_neighborhood,Percent black,0.657,race,Race and ethnicity,map,.0%,7,12
Dixwell,1_neighborhood,Percent black,0.659,race,Race and ethnicity,map,.0%,7,12
Downtown,1_neighborhood,Percent black,0.111,race,Race and ethnicity,map,.0%,7,12
Dwight,1_neighborhood,Percent black,0.392,race,Race and ethnicity,map,.0%,7,12
East Rock,1_neighborhood,Percent black,0.069,race,Race and ethnicity,map,.0%,7,12
East Shore,1_neighborhood,Percent black,0.18,race,Race and ethnicity,map,.0%,7,12
Edgewood,1_neighborhood,Percent black,0.593,race,Race and ethnicity,map,.0%,7,12
Fair Haven,1_neighborhood,Percent black,0.161,race,Race and ethnicity,map,.0%,7,12
Fair Haven Heights,1_neighborhood,Percent black,0.182,race,Race and ethnicity,map,.0%,7,12
Hill,1_neighborhood,Percent black,0.385,race,Race and ethnicity,map,.0%,7,12
Newhallville,1_neighborhood,Percent black,0.859,race,Race and ethnicity,map,.0%,7,12
Prospect Hill,1_neighborhood,Percent black,0.248,race,Race and ethnicity,map,.0%,7,12
Quinnipiac Meadows,1_neighborhood,Percent black,0.424,race,Race and ethnicity,map,.0%,7,12
West River,1_neighborhood,Percent black,0.54,race,Race and ethnicity,map,.0%,7,12
West Rock,1_neighborhood,Percent black,0.36,race,Race and ethnicity,map,.0%,7,12
Westville,1_neighborhood,Percent black,0.271,race,Race and ethnicity,map,.0%,7,12
Wooster Square/Mill River,1_neighborhood,Percent black,0.23,race,Race and ethnicity,map,.0%,7,12
Connecticut,4_state,Other race population,238718,race,Race and ethnicity,table,",",8,13
Greater New Haven,3_region,Other race population,33461,race,Race and ethnicity,table,",",8,13
New Haven,2_city,Other race population,10040,race,Race and ethnicity,table,",",8,13
Amity,1_neighborhood,Other race population,495,race,Race and ethnicity,table,",",8,13
Annex,1_neighborhood,Other race population,288,race,Race and ethnicity,table,",",8,13
Beaver Hills,1_neighborhood,Other race population,287,race,Race and ethnicity,table,",",8,13
Dixwell,1_neighborhood,Other race population,238,race,Race and ethnicity,table,",",8,13
Downtown,1_neighborhood,Other race population,2376,race,Race and ethnicity,table,",",8,13
Dwight,1_neighborhood,Other race population,485,race,Race and ethnicity,table,",",8,13
East Rock,1_neighborhood,Other race population,1299,race,Race and ethnicity,table,",",8,13
East Shore,1_neighborhood,Other race population,244,race,Race and ethnicity,table,",",8,13
Edgewood,1_neighborhood,Other race population,329,race,Race and ethnicity,table,",",8,13
Fair Haven,1_neighborhood,Other race population,455,race,Race and ethnicity,table,",",8,13
Fair Haven Heights,1_neighborhood,Other race population,182,race,Race and ethnicity,table,",",8,13
Hill,1_neighborhood,Other race population,607,race,Race and ethnicity,table,",",8,13
Newhallville,1_neighborhood,Other race population,109,race,Race and ethnicity,table,",",8,13
Prospect Hill,1_neighborhood,Other race population,1076,race,Race and ethnicity,table,",",8,13
Quinnipiac Meadows,1_neighborhood,Other race population,308,race,Race and ethnicity,table,",",8,13
West River,1_neighborhood,Other race population,228,race,Race and ethnicity,table,",",8,13
West Rock,1_neighborhood,Other race population,250,race,Race and ethnicity,table,",",8,13
Westville,1_neighborhood,Other race population,550,race,Race and ethnicity,table,",",8,13
Wooster Square/Mill River,1_neighborhood,Other race population,234,race,Race and ethnicity,table,",",8,13
Connecticut,4_state,Percent other race,0.067,race,Race and ethnicity,map,.0%,9,14
Greater New Haven,3_region,Percent other race,0.072,race,Race and ethnicity,map,.0%,9,14
New Haven,2_city,Percent other race,0.077,race,Race and ethnicity,map,.0%,9,14
Amity,1_neighborhood,Percent other race,0.1,race,Race and ethnicity,map,.0%,9,14
Annex,1_neighborhood,Percent other race,0.043,race,Race and ethnicity,map,.0%,9,14
Beaver Hills,1_neighborhood,Percent other race,0.056,race,Race and ethnicity,map,.0%,9,14
Dixwell,1_neighborhood,Percent other race,0.048,race,Race and ethnicity,map,.0%,9,14
Downtown,1_neighborhood,Percent other race,0.217,race,Race and ethnicity,map,.0%,9,14
Dwight,1_neighborhood,Percent other race,0.11,race,Race and ethnicity,map,.0%,9,14
East Rock,1_neighborhood,Percent other race,0.152,race,Race and ethnicity,map,.0%,9,14
East Shore,1_neighborhood,Percent other race,0.053,race,Race and ethnicity,map,.0%,9,14
Edgewood,1_neighborhood,Percent other race,0.075,race,Race and ethnicity,map,.0%,9,14
Fair Haven,1_neighborhood,Percent other race,0.026,race,Race and ethnicity,map,.0%,9,14
Fair Haven Heights,1_neighborhood,Percent other race,0.027,race,Race and ethnicity,map,.0%,9,14
Hill,1_neighborhood,Percent other race,0.037,race,Race and ethnicity,map,.0%,9,14
Newhallville,1_neighborhood,Percent other race,0.019,race,Race and ethnicity,map,.0%,9,14
Prospect Hill,1_neighborhood,Percent other race,0.255,race,Race and ethnicity,map,.0%,9,14
Quinnipiac Meadows,1_neighborhood,Percent other race,0.051,race,Race and ethnicity,map,.0%,9,14
West River,1_neighborhood,Percent other race,0.065,race,Race and ethnicity,map,.0%,9,14
West Rock,1_neighborhood,Percent other race,0.057,race,Race and ethnicity,map,.0%,9,14
Westville,1_neighborhood,Percent other race,0.064,race,Race and ethnicity,map,.0%,9,14
Wooster Square/Mill River,1_neighborhood,Percent other race,0.072,race,Race and ethnicity,map,.0%,9,14
Connecticut,4_state,Total households,1354713,households,Households,table,",",1,15
Greater New Haven,3_region,Total households,177415,households,Households,table,",",1,15
New Haven,2_city,Total households,50024,households,Households,table,",",1,15
Amity,1_neighborhood,Total households,1830,households,Households,table,",",1,15
Annex,1_neighborhood,Total households,2432,households,Households,table,",",1,15
Beaver Hills,1_neighborhood,Total households,2012,households,Households,table,",",1,15
Dixwell,1_neighborhood,Total households,1808,households,Households,table,",",1,15
Downtown,1_neighborhood,Total households,4342,households,Households,table,",",1,15
Dwight,1_neighborhood,Total households,1845,households,Households,table,",",1,15
East Rock,1_neighborhood,Total households,3886,households,Households,table,",",1,15
East Shore,1_neighborhood,Total households,2010,households,Households,table,",",1,15
Edgewood,1_neighborhood,Total households,1868,households,Households,table,",",1,15
Fair Haven,1_neighborhood,Total households,5640,households,Households,table,",",1,15
Fair Haven Heights,1_neighborhood,Total households,3219,households,Households,table,",",1,15
Hill,1_neighborhood,Total households,5285,households,Households,table,",",1,15
Newhallville,1_neighborhood,Total households,2492,households,Households,table,",",1,15
Prospect Hill,1_neighborhood,Total households,1666,households,Households,table,",",1,15
Quinnipiac Meadows,1_neighborhood,Total households,2129,households,Households,table,",",1,15
West River,1_neighborhood,Total households,1407,households,Households,table,",",1,15
West Rock,1_neighborhood,Total households,915,households,Households,table,",",1,15
Westville,1_neighborhood,Total households,3659,households,Households,table,",",1,15
Wooster Square/Mill River,1_neighborhood,Total households,1578,households,Households,table,",",1,15
Connecticut,4_state,Owner-occupied households,900223,households,Households,table,",",2,16
Greater New Haven,3_region,Owner-occupied households,106876,households,Households,table,",",2,16
New Haven,2_city,Owner-occupied households,14092,households,Households,table,",",2,16
Amity,1_neighborhood,Owner-occupied households,839,households,Households,table,",",2,16
Annex,1_neighborhood,Owner-occupied households,896,households,Households,table,",",2,16
Beaver Hills,1_neighborhood,Owner-occupied households,916,households,Households,table,",",2,16
Dixwell,1_neighborhood,Owner-occupied households,288,households,Households,table,",",2,16
Downtown,1_neighborhood,Owner-occupied households,408,households,Households,table,",",2,16
Dwight,1_neighborhood,Owner-occupied households,245,households,Households,table,",",2,16
East Rock,1_neighborhood,Owner-occupied households,1056,households,Households,table,",",2,16
East Shore,1_neighborhood,Owner-occupied households,1402,households,Households,table,",",2,16
Edgewood,1_neighborhood,Owner-occupied households,410,households,Households,table,",",2,16
Fair Haven,1_neighborhood,Owner-occupied households,1092,households,Households,table,",",2,16
Fair Haven Heights,1_neighborhood,Owner-occupied households,875,households,Households,table,",",2,16
Hill,1_neighborhood,Owner-occupied households,1212,households,Households,table,",",2,16
Newhallville,1_neighborhood,Owner-occupied households,775,households,Households,table,",",2,16
Prospect Hill,1_neighborhood,Owner-occupied households,445,households,Households,table,",",2,16
Quinnipiac Meadows,1_neighborhood,Owner-occupied households,858,households,Households,table,",",2,16
West River,1_neighborhood,Owner-occupied households,255,households,Households,table,",",2,16
